Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
58065848,Car Crash: A Memoir,Lech Blaine,"Blaine, Lech",,"=""""","=""9781743821459""",3,4.50,Black Inc.,ebook,224,2021,,2021/05/17,2021/05/16,"ebooks, library-loan, australian, autobiography-biography-memoir","ebooks (#236), library-loan (#126), australian (#21), autobiography-biography-memoir (#38)",read,"This is a different narrative style for a memoir of a tragedy. It was written with some sense of humour and in a slightly light-hearted manner. I sense there is a touch of sarcasm or probably mocking the media and other teenagers trying to take advantage of the tragedy to get attention for themselves. I feel writing a book about the tragedy is another way to express his inner feelings, which probably difficult to just tell it out to others. I hope Lech will live better than the day before as time goes by, even though the tragedy will be painful to remember but difficult to forget for the rest of his life.<br/><br/><b>Book Review:</b> <a href=""https://chyneyee.com/2021/05/17/car-crash-a-memoir-by-lech-blaine/"">Car Crash: A Memoir by Lech Blaine</a>.",,,1,,,0,,,,,
37751170,The Silent Kookaburra,Liza Perrat,"Perrat, Liza",,"=""""","=""9791095574019""",3,4.23,Liza Perrat,ebook,,2017,,2021/05/13,2021/05/13,"historical-fiction, australian, ebooks, thriller","historical-fiction (#25), australian (#20), ebooks (#235), thriller (#58)",read,"The storytelling is remarkable, bringing the readers to the hot summer in the 1970s in Australia. The author has brilliantly captured the confusion of a young girl who feels helpless to save her troubled family from a downward spiral. Living in a small town in the 1970s, people exchange gossip whenever something happens to one of them. Traditional parenting leaves the adults to handle the reality while protecting the children from the outside world. Older generations despise immigrants and having difficulty accepting something that is out of social norms. Children are lacking educational information about stranger danger and knowledge about pedophilia from parents and teachers.<br/><br/><b>Book Review:</b> <a href=""https://chyneyee.com/2021/05/13/the-silent-kookaburra-by-liza-perrat/"">The Silent Kookaburra by Liza Perrat</a>.",,,1,,,0,,,,,
57504063,Salvation Station,Kathryn Schleich,"Schleich, Kathryn",,"=""""","=""9781631528934""",4,3.72,She Writes Press,ebook,302,2020,,2021/05/10,2021/05/09,"mystery-thriller, ebooks, favourites-or-memorable","mystery-thriller (#37), ebooks (#234), favourites-or-memorable (#94)",read,"The narrative style can be confusing for some readers, with multiple storylines unfolded in parallel manner at different places and dates. However, I felt the story made me involved with the investigation of the case when such narrative style includes the timeline from the beginning of the murder until the closure of the case.<br/><br/>I liked the author only focuses on the main plot and offers fewer unnecessary details such as physical appearances and the characters' personal life unless relevant to the story. The ending also has given the readers what is inside Susannah's mind after the unfolded truth. It's an unforgettable story because the idea is very remarkable, something that I never read before this.<br/><br/><b>Book Review:</b> <a href=""https://chyneyee.com/2021/05/10/salvation-station-by-kathryn-schleich/"">Salvation Station by Kathryn Schleich</a>.",,,1,,,0,,,,,
57504081,The Keeper,Jessica Moor,"Moor, Jessica",,"=""""","=""9780241986394""",4,3.53,Penguin Books Ltd,ebook,308,2020,2020,2021/05/04,2021/05/03,"ebooks, mystery-thriller","ebooks (#233), mystery-thriller (#36)",read,"I think it was a great idea to have two detectives from two different generations with different views about domestic violence. Brooke, the young detective, represents the current generation's views about the modern world. Meanwhile, Whitworth is the old detective who has seen various walks of people in his career life. He is still trying to understand the thinking of the current generation and the world of social media, which are still new to him.<br/><br/><spoiler><br/>I'm still feeling disoriented with the ending due to my confusion about the multiple stories across two timelines. I'm not a fan of the vague ending and still thinking about how Katie dies. Someone witnesses the critical moment before Katie dies, but she is a drug addict. The way she explains what she sees makes me wonder whether she is intoxicated at that time. Before Katie's death, she believes the man that she sees is Jamie, but he treats her as if he never meets her before. So, is that person really Jamie, or it's just Katie's imagination? But at the same time, the man that Katie believes is Jamie appears to be jumpy when discussing about Katie's note. <br/></spoiler><br/><br/>I don't know if I'm over-analytical, but the more I'm dissecting the details, the twist ending doesn't seem to fit with the story. It feels like a deliberate twist to convey a message which has already delivered throughout the story. However, I feel it's still a good read until the ending challenges an over-analytical person like me.<br/><br/><b>Book Review:</b> <a href=""https://chyneyee.com/2021/05/04/the-keeper-by-jessica-moor/"">The Keeper by Jessica Moor</a>.",,,1,,,0,,,,,
50851575,What is a Googly?: The Mysteries of Cricket Explained,Rob Eastaway,"Eastaway, Rob",,"=""1911622145""","=""9781911622147""",5,4.50,Portico,Hardcover,144,2019,,2021/04/26,2021/04/26,non-fiction,non-fiction (#20),read,"This book provides the fundamental rules of cricket and some remarkable history behind it. It's easy to read and simple to understand, plus a few funny illustrations to reduce the boredom of reading a technical book. Probably I had self-taught myself in learning this sport which made me easier to understand the content of the book, but there are some unusual rules that I'm not familiar with, such as fielders' positions which is beautifully illustrated in this book.<br/><br/><b>Book Review:</b> <a href=""https://chyneyee.com/2021/04/26/what-is-a-googly-the-mysteries-of-cricket-explained-by-rob-eastaway/"">What is a Googly?: The Mysteries of Cricket Explained by Rob Eastaway</a>.",,,1,,,0,,,,,
50498731,The Apparition Phase,Will Maclean,"Maclean, Will",,"=""1473575893""","=""9781473575899""",2,3.99,Cornerstone Digital,ebook,384,2020,2020,2021/04/15,2021/04/15,"horror, ebooks","horror (#35), ebooks (#231)",read,"The remaining story focuses on Tim and no longer related to the fake ghost photo, and Abi is “missing” together with the story as well. I felt the story doesn’t excite me or stir my anticipation to know what happens next because there were no directions to lead me somewhere. I couldn’t find any connections, and the entire story doesn’t bind together.<br/><br/>The twins concocting a photo of a ghost in their attic was a captivating start. As the story continues, I got confused because the story goes towards a different path, as if someone else is struggling to finish a story left by another author.<br/><br/>After finishing the book, ironically, I felt I was part of the ghost-hunting group after knowing the truth. <br/><br/><b>Book Review:</b> <a href=""https://chyneyee.com/2021/04/15/the-apparition-phaseby-will-maclean/"">The Apparition Phase by Will Maclean</a>.",,,1,,,0,,,,,
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0061122416""","=""9780061122415""",4,3.89,HarperCollins,Paperback,197,1993,1988,2013/01/04,2013/05/18,"inspirational, paulo-coelho, classics, literature-fiction, favourites-or-memorable","inspirational (#1), paulo-coelho (#1), classics (#5), literature-fiction (#11), favourites-or-memorable (#92)",read,https://chyneyee.com/2013/01/04/the-alchemist-paulo-coelho/<br/><br/>This story is about the life journey of a young shepherd who follows his heart to search for his dreams. Although it's a simple story but it delivers a meaningful message to the readers to pursue our dreams without any hesitations.<br/><br/>This book is worth for reading and gives us a lot of good advices especially for those who has hesitations and fears to pursue their dreams.,,,1,,,0,,,,,
437129,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""0747566534""","=""9780747566533""",4,4.31,Bloomsbury,Paperback,324,2004,2003,2011/09/28,2013/05/20,"khaled-hosseini, historical-fiction, book-to-tv-or-movie, favourites-or-memorable","khaled-hosseini (#1), historical-fiction (#1), book-to-tv-or-movie (#19), favourites-or-memorable (#91)",read,I've compiled all my favourite quotes here: https://chyneyee.com/2011/09/28/the-kite-runner-khaled-hosseini/,,,1,,,0,,,,,
24374031,Hotel Kerobokan,Kathryn Bonella,"Bonella, Kathryn",,"=""1741987709""","=""9781741987706""",5,3.88,Pan Macmillan Australia,ebook,336,2009,2009,2015/01/08,2013/05/19,"ebooks, true-crime, australian, favourites-or-memorable","ebooks (#22), true-crime (#2), australian (#4), favourites-or-memorable (#90)",read,"https://chyneyee.com/2015/01/08/hotel-kerobokan-kathryn-bonella/<br/><br/>I had added this book in my reading list since last year. This book is far better than my expectations. I'm not surprised with the stories about corruption told by the author in this book. Corruption is one of the most common problems in Southeast Asia. If you come from any of Southeast Asian countries, you won't feel surprised with the stories of corruption happening in any countries within the region. But I do feel shocked with the seriousness of the corruption in Indonesia after reading this book. I couldn't believe it was so corrupted in the jail to the extent that prisoners can supply drugs to the outside and even can walk out from the prison everyday to enjoy their short freedom. I would highly recommend this book to anyone especially true crime readers.",,,1,,,0,,,,,
6375914,Life of Pi,Yann Martel,"Martel, Yann",,"=""1847676014""","=""9781847676016""",4,3.92,Canongate Books,Paperback,434,2009,2001,2012/01/17,2013/05/20,"fantasy, literature-fiction, book-to-tv-or-movie, favourites-or-memorable","fantasy (#7), literature-fiction (#8), book-to-tv-or-movie (#18), favourites-or-memorable (#89)",read,https://chyneyee.com/2012/01/17/life-of-pi-yann-martel/<br/><br/>I've read one of the book reviews about this book and the reader mentioned that her favourite part will be the last few pages of the book. I agreed with her. I like how the author comes out with a different version of the story.,,,1,,,0,,,,,
1916040,The Testament,John Grisham,"Grisham, John",,"=""0440295858""","=""9780440295853""",4,3.86,Island Books,Paperback,544,1999,1999,2010/09/11,2013/05/20,"thriller, john-grisham, mystery-crime, favourites-or-memorable","thriller (#9), john-grisham (#4), mystery-crime (#16), favourites-or-memorable (#88)",read,"https://chyneyee.com/2010/09/11/the-testament-john-grisham/<br/><br/>This is the second time that I've read this book and I just realized that I didn't blog about it when I read it at the first time.<br/><br/>This book was introduced to me when I read the Daily Bread booklet which talks about the religious concept and our love to God. This is the first book that I've read when I started my reading habit.<br/><br/>The story is about a wealthy man (Troy Phelan) who signs his will in front of the psychiatrists but after a few minutes later, he signs another will which he has prepared earlier and he commits suicide after that. The will has stated that the remaining $11 billion will be inherited by Rachel Lane, a Christian missionary who spends her life in the jungles of Brazil. An attorney from Washington D.C. who is also a drunkard, Nate O'Riley is being assigned to go to the jungle to look for Rachel Lane.<br/><br/>The story involves the adventure and the difficulties experienced by Nate during the journey to look for Rachel. Although Nate needs to travel for a long journey and able to find Rachel but unfortunately, Rachel rejects the fortune and decides to give her life to God by spending her time with the missionary work. In the meantime, Troy's children and ex-wives are hungry for the money and hire a bunch of attorneys to against the will.<br/><br/>I felt amazed with Rachel's love to God and her ability to change Nate to be a new and clean person. I always believe God will show us the way as long as we put our full trust to God.",,,1,,,0,,,,,
298137,Mao's Last Dancer,Li Cunxin,"Cunxin, Li",,"=""0425201333""","=""9780425201336""",5,4.07,Berkley Books,Paperback,480,2005,2003,2010/08/24,2013/05/20,"autobiography-biography-memoir, book-to-tv-or-movie, inspirational, australian, favourites-or-memorable","autobiography-biography-memoir (#1), book-to-tv-or-movie (#23), inspirational (#5), australian (#1), favourites-or-memorable (#87)",read,"https://chyneyee.com/2010/08/24/maos-last-dancer-li-cunxin/<br/><br/>Although I've just finished reading the book, the story still deep in my mind. This is indeed a great book which brings a lot of positivity, courages and advices to the readers. One of my favourites from this book are the fables told by the author's father and teachers. The fables are not only interesting but also contain life lessons that we can learn from it.<br/><br/>This story is about a peasant boy who keeps striving for higher achievement and never ever gives up no matter how many difficulties he has encountered in his life. He will try his best to resolve and ""fix"" any weaknesses which exist in his inner mind and try different ways to stay positive to overcome the difficulties. He always ensure that he is capable enough to carry out each role higher than what was being expected also more than the word ""success"". No matter how many achievements he has in his life, he always feel that he is still far away from his own expectations.",,,1,,,1,,,unspecified,,
834713,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""0747582971""","=""9780747582977""",4,4.38,Bloomsbury UK,Paperback,372,2007,2007,2010/04/15,2013/05/20,"khaled-hosseini, historical-fiction, favourites-or-memorable","khaled-hosseini (#2), historical-fiction (#5), favourites-or-memorable (#86)",read,"https://chyneyee.com/2010/04/15/a-thousand-splendid-suns-khaled-hosseini/<br/><br/>After finished reading this book, I'm wondering whether I have the courage to read it again in the future.<br/><br/>The story is ""too real"" and it remains a deep impression on me. The story involves of Afghanistan women's experiences such as tortures and beatings by the men which I would prefer it's just a ""story"". It's too cruel to be true.",,,1,,,0,,,,,
816723,The Zahir,Paulo Coelho,"Coelho, Paulo",Margaret Jull Costa,"=""0007220855""","=""9780007220854""",5,3.58,Harper,Paperback,349,2006,2005,2009/05/10,2013/05/20,"literature-fiction, inspirational, paulo-coelho, favourites-or-memorable","literature-fiction (#2), inspirational (#2), paulo-coelho (#2), favourites-or-memorable (#85)",read,"https://chyneyee.com/2009/05/10/the-zahir/<br/><br/>As in this story by Paulo Coelho, this inspirational book tells a story about a man who is searching for his missing wife and also for his own truth of life. Obviously, his wife is his 'Zahir'. I’m still reading this book but I feel this is definitely worth for reading. The story not only inspires us in different ways but also shapes our thinking and leads us to question the meaning of our life. I personally feel the author’s perception of life is so true and if you have the chance to read this book, I certainly believe that you will also start to take a moment to think about your life or maybe your relationship too.",,,1,,,0,,,,,
6696541,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",,"=""0307455351""","=""9780307455352""",5,4.14,Vintage,Mass Market Paperback,644,2008,2005,2010/03/20,2013/05/20,"stieg-larsson, mystery-thriller, book-to-tv-or-movie, favourites-or-memorable","stieg-larsson (#1), mystery-thriller (#6), book-to-tv-or-movie (#24), favourites-or-memorable (#84)",read,"The first book in this year for me is 'The Girl with the Dragon Tattoo' by a Swedish author, Stieg Larsson. This book was recommended by another colleague in Sydney few months ago and if I'm not mistaken, it was one of the top listed books in Australia at that time and even now (source: Kinokuniya Australia Top 10 Bestsellers list).<br/><br/>I just finished reading this book and I still remember at the beginning, I was wondering whether this book is suitable for me.<br/><br/>However, as I proceed further in reading this book, I love the story. If you wish that I can provide the sypnosis of this story, this will be better than my own words: <a href=""https://chyneyee.com/2010/03/20/the-girl-with-the-dragon-tattoo-millennium-1-stieg-larsson/"">The Girl with the Dragon Tattoo</a>.<br/><br/>My favourite character from the story is Lisbeth Salander. Although her personal life and past experience seems miserable but I still like her personality. She always has her own way in solving problems and each time before she starts to take an action, she will remind herself:<br/><br/>Analysis of Consequences<br/><br/>Besides that, she doesn't care what others think about her even if they look at her as a weirdo. She is also an intelligent hacker and researcher. I like all the words printed on her T-shirts and I wish I can have them.",,,1,,,0,,,,,
5354,The Brethren,John Grisham,"Grisham, John",,"=""0385339674""","=""9780385339674""",4,3.74,Delta,Paperback,384,2005,2000,2009/07/19,2013/05/20,"thriller, john-grisham, mystery-crime, favourites-or-memorable","thriller (#7), john-grisham (#6), mystery-crime (#18), favourites-or-memorable (#83)",read,"https://chyneyee.com/2009/07/19/the-brethren-john-grisham/<br/><br/>Recently, I just finished reading a book written by John Grisham, The Brethren. There are not many quotes can be extracted from this book but the plot of the story is brilliant.",,,1,,,0,,,,,
7933437,The Confession,John Grisham,"Grisham, John",,"=""0385528043""","=""9780385528047""",4,3.86,Doubleday,Hardcover,418,2010,2010,2013/07/21,2013/07/05,"thriller, john-grisham, mystery-crime, favourites-or-memorable","thriller (#3), john-grisham (#11), mystery-crime (#12), favourites-or-memorable (#82)",read,"When I was reading this book, I really can feel how the innocent man’s feel when facing the death penalty for a crime that he never committed and the struggles that Travis experiencing to confess his own sins. Besides, I really like the young pastor’s character that doesn’t care of violating the law just to save an innocent man. Also, the lawyer never ever give up in defending his client even until the last minute of the client’s death penalty.<br/><br/>https://chyneyee.com/2013/07/28/the-confession-john-grisham/",,,1,,,0,,,,,
17930068,Only 13: The True Story of Lon,Julia Manzanares,"Manzanares, Julia",Derek Kent,"=""""","=""9789674151041""",4,3.18,MPH Group Publishing,Paperback,,2013,2006,2013/11/05,2013/10/18,"autobiography-biography-memoir, favourites-or-memorable","autobiography-biography-memoir (#4), favourites-or-memorable (#81)",read,"From the beginning until the ending of the story, my hatred feeling to her family only increased and never decreased. I can’t believe there is such family exists in the world. The mother just asking money from her continuously and doesn’t bother about her daughter’s involvement in prostitution. What she only cares is the money and she asking more and more from her daughter. When one of the daughters decided to further her studies, she disagreed with the idea because she hopes to get more money if both daughters working at the same time and she doesn’t like the delay. It seems she doesn’t feel anything wrong with the daughter selling her body to earn for the income and worse is, she never appreciate all the things that her daughter has done for her and she still loves her worthless son the most. I doubt she will ever feel guilty or regret in the future.<br/><br/>Although Lon never got the chance to have a proper education but she always believe that education can change a person’s life. She tried very hard to save up her money to support her sisters’ education. Comparing to my country where I often heard of kids being scolded by their parents of not putting enough effort in their studies and lots of school dropouts in these recent years, you can just imagine how huge is the difference of these two neighbouring countries.<br/><br/>When Lon started to have problems with her mental health, I wasn’t surprised with it. Who wouldn’t if they have such greedy and lazy family plus with several disastrous marriages. It’s not everyone can handle all these in a good way.<br/><br/>This is really a good story for us to understand the poverty life in another part of the world and how they strive for their living. We might think 1 Baht doesn’t cost much too us especially for people that comes from richer countries but for them, every baht comes from their hard work which probably to the extent involving of selling their bodies for a living.<br/><br/>https://chyneyee.com/2013/11/05/only-13-the-true-story-of-lon-julia-manzanarres-derek-kent/",,,1,,,0,,,,,
7793414,Tokyo Vice,Jake Adelstein,"Adelstein, Jake",,"=""1849014647""","=""9781849014649""",5,3.91,Constable & Robinson,Paperback,400,2010,2009,2014/03/02,2013/12/29,"true-crime, non-fiction, autobiography-biography-memoir, book-to-tv-or-movie, favourites-or-memorable","true-crime (#1), non-fiction (#2), autobiography-biography-memoir (#2), book-to-tv-or-movie (#17), favourites-or-memorable (#80)",read,"What really impressed me about this book is the author has covered every single detail about Japanese culture including the dark side of Japan without any hesitations. This really makes the story very genuine and no hidden part in it. As for the author, what I like about him are his passions for his work and his courage to strive for the freedom of the press. In order to produce high-quality news content to the public, he will talk to anyone to obtain the accurate news even if he needs to communicate with a prostitute or a yakuza. From the book, I’ve learned that Japanese news media works extremely hard to obtain the first-hand news and they believe that public has the rights to know everything including the seedy side of the country. This is different from certain countries that try to hide the ugly side from being exposed to their people.<br/><br/>https://chyneyee.com/2014/03/02/tokyo-vice-jake-adelstein/",,,1,,,0,,,,,
